epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,68.0707,0.89107,1.86683,0.94853,0.82721,0.82538,0.91352,0.71318,0.67457,0.68958,0.88243,0.00994318,0.00331439,0.00994318,0.00331439,0.00994318,0.00331439,0.00994318,0.00331439
2,127.029,0.86333,0.88831,0.91462,0.87019,0.83708,0.92714,0.70729,0.7521,0.727,0.91407,0.0198774,0.00662579,0.0198774,0.00662579,0.0198774,0.00662579,0.0198774,0.00662579
3,190.064,0.90858,0.85154,0.9261,0.81562,0.82117,0.8875,0.6791,0.74653,0.90758,0.91751,0.0297456,0.00991519,0.0297456,0.00991519,0.0297456,0.00991519,0.0297456,0.00991519
4,244.574,0.9146,0.81275,0.93217,0.87188,0.84195,0.9316,0.70577,0.76187,0.68794,0.92414,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,299.371,0.87891,0.7158,0.92574,0.88195,0.89178,0.94397,0.74244,0.7027,0.60687,0.90101,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,354.129,0.84536,0.67188,0.91407,0.91662,0.87876,0.95572,0.75739,0.69676,0.53353,0.89757,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,408.667,0.82807,0.63621,0.91238,0.91433,0.91124,0.94987,0.75012,0.69687,0.53654,0.89938,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,470.436,0.81176,0.61941,0.90825,0.91783,0.85419,0.94517,0.74897,0.69993,0.56827,0.9006,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,547.312,0.80009,0.59601,0.90699,0.88413,0.85523,0.93213,0.74637,0.67767,0.59963,0.89331,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,623.434,0.7965,0.58202,0.90495,0.92343,0.90806,0.96078,0.76529,0.66942,0.48733,0.89068,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,699.124,0.77673,0.55886,0.89786,0.92049,0.93789,0.96756,0.78101,0.66405,0.47182,0.89733,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,775.745,0.76038,0.5416,0.89113,0.94815,0.93633,0.96845,0.78265,0.6519,0.4491,0.88982,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,852.313,0.7459,0.53593,0.88781,0.95778,0.93277,0.97445,0.78935,0.65375,0.44106,0.88498,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,928.49,0.74986,0.51187,0.88911,0.95061,0.92583,0.96842,0.79071,0.64234,0.4417,0.88325,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1005.06,0.73668,0.51842,0.88626,0.95483,0.93287,0.97017,0.78723,0.64099,0.42762,0.88402,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1079.61,0.73726,0.50301,0.88587,0.94526,0.95678,0.97341,0.78779,0.64237,0.40654,0.88763,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1141.44,0.71552,0.49131,0.8792,0.9393,0.9301,0.96846,0.79119,0.64313,0.4132,0.8832,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1196.02,0.71943,0.48353,0.88046,0.94576,0.94782,0.97174,0.79055,0.64194,0.40492,0.88126,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1250.8,0.70491,0.47453,0.87959,0.94361,0.92508,0.96937,0.78287,0.64263,0.41041,0.89,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1305.48,0.70224,0.4713,0.8764,0.94479,0.94452,0.97357,0.79626,0.64021,0.40822,0.87974,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1360.31,0.69033,0.46864,0.87312,0.95376,0.95585,0.9767,0.80239,0.6212,0.38284,0.8734,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1415.43,0.68945,0.45622,0.87597,0.95367,0.95497,0.97404,0.79565,0.63787,0.39252,0.88432,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1470.86,0.67988,0.45919,0.87208,0.94407,0.95787,0.97179,0.79937,0.61747,0.38444,0.87756,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1526.37,0.68035,0.44883,0.86981,0.9529,0.95373,0.97347,0.79468,0.62368,0.38433,0.87728,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1581.87,0.6701,0.4433,0.86741,0.95406,0.9455,0.97534,0.79712,0.63175,0.37887,0.87933,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1637.31,0.67264,0.44448,0.86743,0.95316,0.95867,0.97724,0.8036,0.62606,0.38037,0.87158,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1692.7,0.65662,0.43054,0.86145,0.95744,0.96469,0.97337,0.80381,0.60969,0.37235,0.86884,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,1748.36,0.65064,0.42827,0.86374,0.9538,0.95312,0.97527,0.80403,0.60954,0.39134,0.873,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,1803.9,0.6501,0.41956,0.85827,0.94893,0.94793,0.96792,0.79229,0.61494,0.38929,0.87313,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
